year,month,name,basin,distance_48,distance_24,center_speed_48,center_speed_24,wind_speed_48,wind_speed_24,wind_speed_landfall,category_landfall,hurricane_landfall,damage
1980,7,NOT_NAMED,North Atlantic,344,213,4,6,30,30,25,0,0,NA
1980,8,ALLEN,North Atlantic,210,247,13,11,122,147,92,3,1,1.6
1980,9,HERMINE,North Atlantic,343,15,15,13,25,42,57,1,0,NA
1980,11,NOT_NAMED,North Atlantic,104,238,7,6,30,30,25,0,0,NA
1981,6,ADRIAN,Eastern Pacific,377,215,5,5,35,30,30,0,0,NA
1981,6,NOT_NAMED,North Atlantic,145,142,9,11,25,30,25,0,0,NA
1981,8,DENNIS,North Atlantic,186,122,13,10,15,15,32,0,0,NA
1981,8,IRWIN,Eastern Pacific,105,136,8,9,30,35,30,0,0,NA
1981,9,KNUT,Eastern Pacific,469,293,14,11,47,55,35,1,0,NA
1981,10,NORMA,Eastern Pacific,368,310,6,9,100,90,90,3,1,NA
1981,10,OTIS,Eastern Pacific,359,107,8,10,65,70,55,1,0,NA
1981,11,KATRINA,North Atlantic,317,249,2,5,35,65,55,1,0,NA
1982,9,CHRIS,North Atlantic,331,213,6,5,25,35,55,1,0,NA
1983,5,ADOLPH,Eastern Pacific,540,318,5,7,82,57,37,1,0,NA
1983,8,ALICIA,North Atlantic,266,178,4,5,52,72,91,3,1,3
1983,9,DEAN,North Atlantic,532,369,9,10,50,55,40,1,0,NA
1983,10,RAYMOND,Eastern Pacific,545,152,5,9,30,30,20,0,0,NA
1983,10,TICO,Eastern Pacific,517,403,6,8,100,105,75,2,1,NA
1984,7,GENEVIEVE,Eastern Pacific,192,105,2,3,50,35,25,0,0,NA
1984,9,DIANA,North Atlantic,122,49,8,2,92,95,73,2,1,NA
1984,9,NORBERT,Eastern Pacific,336,176,9,10,115,105,45,1,0,NA
1984,9,ODILE,Eastern Pacific,169,89,5,2,65,80,50,1,0,NA
1984,10,POLO,Eastern Pacific,588,358,10,7,87,95,30,0,0,NA
1984,9,ISIDORE,North Atlantic,280,41,10,7,30,42,47,1,0,NA
1984,12,LILI,North Atlantic,1464,626,17,21,70,50,25,0,0,NA
1985,7,ANA,North Atlantic,760,309,11,19,40,50,50,1,0,NA
1985,7,BOB,North Atlantic,277,177,3,3,25,32,40,1,0,NA
1985,8,DANNY,North Atlantic,170,357,12,11,30,60,70,2,1,NA
1985,9,GLORIA,North Atlantic,538,325,12,16,95,85,75,2,1,NA
1985,10,WALDO,Eastern Pacific,438,268,12,9,35,65,65,2,1,NA
1985,10,JUAN,North Atlantic,384,24,8,9,55,75,65,2,1,NA
1985,11,KATE,North Atlantic,223,132,5,16,75,80,95,3,1,NA
1986,6,BONNIE,North Atlantic,290,226,6,7,30,55,65,2,1,NA
1986,9,NEWTON,Eastern Pacific,152,42,10,10,65,67,57,1,0,NA
1986,10,PAINE,Eastern Pacific,291,221,11,10,37,77,52,1,0,NA
1986,10,ROSLYN,Eastern Pacific,681,234,10,9,90,65,45,1,0,NA
1987,7,EUGENE,Eastern Pacific,352,221,8,6,45,65,80,2,1,NA
1987,8,ARLENE,North Atlantic,307,423,11,10,10,15,25,0,0,NA
1987,9,EMILY,North Atlantic,284,354,17,17,40,70,95,3,1,NA
1987,10,FLOYD,North Atlantic,120,243,10,9,27,40,57,1,0,NA
1987,11,NOT_NAMED,North Atlantic,79,164,13,3,30,25,25,0,0,NA
1988,8,GILMA,Eastern Pacific,904,347,13,13,25,22,20,0,0,NA
1988,8,ALBERTO,North Atlantic,166,173,15,18,20,27,35,1,0,NA
1988,8,CHRIS,North Atlantic,666,239,17,14,30,30,30,0,0,NA
1988,9,DEBBY,North Atlantic,118,213,7,7,25,30,65,2,1,NA
1988,9,FLORENCE,North Atlantic,151,351,2,8,45,50,67,2,1,NA
1988,9,GILBERT,North Atlantic,260,173,14,12,55,100,110,4,1,3
1988,10,JOAN,North Atlantic,156,156,12,11,45,45,55,1,0,1.9
1988,11,KEITH,North Atlantic,247,140,8,18,30,37,60,1,0,NA
1989,6,COSME,Eastern Pacific,377,384,5,3,40,60,65,2,1,NA
1989,8,DEAN,North Atlantic,1067,581,16,20,82,82,51,1,0,NA
1989,7,CHANTAL,North Atlantic,202,299,10,10,22,52,62,1,0,NA
1989,9,HUGO,North Atlantic,464,446,11,15,90,100,85,3,1,9.5
1989,10,RAYMOND,Eastern Pacific,856,590,3,11,95,70,45,1,0,NA
1989,10,JERRY,North Atlantic,427,379,7,8,55,55,56,1,0,NA
1990,8,BERTHA,North Atlantic,554,379,10,10,65,65,60,1,0,NA
1990,8,FRAN,North Atlantic,1109,424,28,24,30,30,35,1,0,NA
1990,10,RACHEL,Eastern Pacific,751,420,10,10,42,52,40,1,0,NA
1990,10,LILI,North Atlantic,359,330,11,26,62,50,40,1,0,NA
1991,8,BOB,North Atlantic,365,97,8,18,70,95,60,1,0,1.5
1991,11,NOT_NAMED,North Atlantic,322,536,10,13,45,62,41,1,0,NA
1992,8,ANDREW,North Atlantic,724,454,12,15,72,137,145,6,1,27.3
1992,8,LESTER,Eastern Pacific,424,263,11,8,40,60,55,1,0,NA
1992,9,DANIELLE,North Atlantic,303,192,3,6,40,45,40,1,0,NA
1992,10,VIRGIL,Eastern Pacific,271,205,6,4,45,112,95,3,1,NA
1992,10,WINIFRED,Eastern Pacific,430,285,6,7,47,85,79,2,1,NA
1992,10,FRANCES,North Atlantic,1160,1177,20,28,40,35,30,0,0,NA
1993,6,ARLENE,North Atlantic,248,120,6,16,25,35,30,0,0,NA
1993,7,CALVIN,Eastern Pacific,382,144,4,12,60,90,85,3,1,NA
1993,7,EUGENE,Eastern Pacific,1734,851,14,20,45,35,30,0,0,NA
1993,8,BRET,North Atlantic,460,11,20,20,50,50,40,1,0,NA
1993,8,CINDY,North Atlantic,447,203,13,11,35,35,30,0,0,NA
1993,8,HILARY,Eastern Pacific,153,94,4,7,37,47,42,1,0,NA
1993,9,LIDIA,Eastern Pacific,266,336,14,10,127,95,75,2,1,NA
1994,7,ALBERTO,North Atlantic,170,353,7,12,30,45,45,1,0,1
1994,10,ROSA,Eastern Pacific,406,317,2,4,60,80,75,2,1,0.7
1995,6,ALLISON,North Atlantic,152,384,13,15,37,65,55,1,0,NA
1995,7,BARRY,North Atlantic,573,475,10,20,60,50,45,1,0,NA
1995,7,DEAN,North Atlantic,355,213,5,12,30,30,37,1,0,NA
1995,8,ERIN,North Atlantic,146,252,5,10,47,72,75,2,1,NA
1995,8,GABRIELLE,North Atlantic,274,112,5,1,30,42,52,1,0,NA
1995,9,ISMAEL,Eastern Pacific,451,284,6,13,40,65,60,1,0,NA
1996,6,ALMA,Eastern Pacific,217,144,4,2,65,85,90,3,1,NA
1996,6,BORIS,Eastern Pacific,329,195,7,8,25,40,80,2,1,NA
1996,7,BERTHA,North Atlantic,284,297,12,7,77,70,83,3,1,NA
1996,7,CESAR,North Atlantic,58,258,17,11,40,60,70,2,1,NA
1996,9,FRAN,North Atlantic,454,406,10,13,97,105,84,3,1,NA
1996,9,HORTENSE,North Atlantic,448,253,8,4,55,70,70,2,1,NA
1996,9,FAUSTO,Eastern Pacific,356,175,10,5,87,95,73,2,1,NA
1996,10,HERNAN,Eastern Pacific,269,30,7,11,45,75,60,1,0,NA
1996,10,JOSEPHINE,North Atlantic,279,346,6,16,30,50,45,1,0,NA
1996,10,LILI,North Atlantic,273,214,6,9,45,65,85,3,1,NA
1997,6,ANDRES,Eastern Pacific,54,145,7,8,45,32,23,0,0,NA
1997,9,NORA,Eastern Pacific,455,318,6,9,80,75,65,2,1,NA
1997,9,OLAF,Eastern Pacific,287,138,8,4,45,60,30,0,0,NA
1997,10,PAULINE,Eastern Pacific,303,233,4,5,70,100,95,3,1,NA
1997,11,RICK,Eastern Pacific,676,299,7,13,30,57,71,2,1,NA
1998,8,BONNIE,North Atlantic,511,301,10,12,100,100,95,3,1,1
1998,9,ISIS,Eastern Pacific,427,137,4,11,25,60,62,1,0,NA
1998,9,EARL,North Atlantic,418,168,10,13,40,50,70,2,1,NA
1998,9,JAVIER,Eastern Pacific,370,184,7,6,25,40,30,0,0,NA
1998,9,FRANCES,North Atlantic,279,266,4,10,30,40,45,1,0,NA
1998,9,GEORGES,North Atlantic,865,556,14,14,130,100,90,3,1,13.9
1998,9,HERMINE,North Atlantic,411,305,3,10,30,30,35,1,0,NA
1998,10,JEANNE,North Atlantic,993,518,12,10,35,40,30,0,0,NA
1998,10,MITCH,North Atlantic,134,44,5,1,150,115,70,2,1,6
1999,8,BRET,North Atlantic,286,198,6,9,70,122,90,3,1,NA
1999,9,DENNIS,North Atlantic,197,305,6,2,45,50,60,1,0,NA
1999,9,GREG,Eastern Pacific,47,175,9,7,42,65,50,1,0,NA
1999,9,FLOYD,North Atlantic,203,176,10,12,105,105,80,2,1,6.5
1999,9,HARVEY,North Atlantic,358,275,4,8,30,50,50,1,0,NA
1999,10,IRENE,North Atlantic,132,147,4,9,20,50,60,1,0,NA
2000,9,HELENE,North Atlantic,11,384,18,11,25,45,35,1,0,NA
2000,10,KEITH,North Atlantic,91,38,3,2,110,90,60,1,0,NA
2000,10,MICHAEL,North Atlantic,710,721,3,24,65,75,75,2,1,25.1
2000,11,ROSA,Eastern Pacific,460,243,5,6,55,50,31,0,0,NA
2001,8,BARRY,North Atlantic,296,276,1,6,30,40,60,1,0,NA
2001,8,CHANTAL,North Atlantic,287,147,11,15,60,50,55,1,0,NA
2001,9,ERIN,North Atlantic,410,277,17,33,65,57,55,1,0,NA
2001,9,GABRIELLE,North Atlantic,332,285,2,4,27,37,52,1,0,NA
2001,9,JULIETTE,Eastern Pacific,98,67,8,2,80,60,35,1,0,NA
2001,10,IRIS,North Atlantic,149,301,12,16,75,85,108,4,1,NA
2001,10,KAREN,North Atlantic,758,481,13,8,60,60,40,1,0,NA
2002,7,ARTHUR,North Atlantic,405,583,22,35,45,50,40,1,0,NA
2002,9,EDOUARD,North Atlantic,273,178,1,3,35,37,30,0,0,NA
2002,9,GUSTAV,North Atlantic,181,285,7,21,50,65,65,2,1,NA
2002,9,HANNA,North Atlantic,288,157,7,3,35,45,50,1,0,NA
2002,10,KYLE,North Atlantic,494,107,8,12,25,30,35,1,0,NA
2002,9,LILI,North Atlantic,33,198,4,8,47,65,90,3,1,1.2
2002,10,NOT_NAMED,North Atlantic,202,314,3,10,30,30,25,0,0,NA
2002,10,KENNA,Eastern Pacific,585,456,13,10,75,140,100,4,1,NA
2003,7,CLAUDETTE,North Atlantic,278,248,21,15,55,70,50,1,0,NA
2003,8,IGNACIO,Eastern Pacific,204,52,5,4,50,90,72,2,1,NA
2003,9,HENRI,North Atlantic,205,176,4,7,27,37,30,0,0,NA
2003,9,ISABEL,North Atlantic,727,514,8,10,95,90,75,2,1,5.5
2003,9,MARTY,Eastern Pacific,333,376,5,7,45,65,80,2,1,NA
2003,10,NORA,Eastern Pacific,448,265,5,12,30,25,25,0,0,NA
2003,10,OLAF,Eastern Pacific,235,162,8,4,60,40,47,1,0,NA
2003,12,ODETTE,North Atlantic,300,321,5,11,45,50,45,1,0,NA
2004,8,BONNIE,North Atlantic,345,346,4,10,47,50,37,1,0,NA
2004,8,CHARLEY,North Atlantic,224,95,18,15,55,75,105,4,1,16.9
2004,9,FRANCES,North Atlantic,203,145,10,5,100,85,90,3,1,10.1
2004,8,GASTON,North Atlantic,195,189,2,3,25,47,60,1,0,NA
2004,9,IVAN,North Atlantic,121,351,7,12,132,117,90,3,1,26.1
2004,9,JAVIER,Eastern Pacific,250,192,5,5,95,50,25,0,0,NA
2004,9,JEANNE,North Atlantic,592,278,6,7,25,50,60,1,0,8
2004,9,KARL,North Atlantic,752,315,46,20,55,57,32,0,0,NA
2004,10,MATTHEW,North Atlantic,239,360,12,9,30,35,30,0,0,NA
2005,5,ADRIAN,Eastern Pacific,364,124,6,7,50,65,20,0,0,NA
2005,6,ARLENE,North Atlantic,203,319,7,17,37,57,42,1,0,NA
2005,7,DENNIS,North Atlantic,218,64,12,13,65,110,111,4,1,4
2005,7,EMILY,North Atlantic,260,336,15,16,125,132,92,3,1,1
2005,8,KATRINA,North Atlantic,237,104,6,8,30,45,70,2,1,125
2005,9,OPHELIA,North Atlantic,129,255,5,18,55,50,45,1,0,NA
2005,9,RITA,North Atlantic,391,257,8,9,147,115,89,3,1,18.5
2005,10,VINCE,North Atlantic,636,680,5,16,52,47,30,0,0,NA
2005,10,WILMA,North Atlantic,237,148,7,5,132,130,115,5,1,27.4
2005,10,BETA,North Atlantic,271,185,5,3,50,75,90,3,1,NA
2005,11,GAMMA,North Atlantic,282,331,15,21,30,25,30,0,0,NA
2005,11,DELTA,North Atlantic,1626,661,27,28,52,60,42,1,0,NA
2006,6,ALBERTO,North Atlantic,312,245,7,8,40,60,35,1,0,NA
2006,7,NOT_NAMED,North Atlantic,445,279,8,18,30,42,25,0,0,NA
2006,7,BERYL,North Atlantic,202,159,7,9,50,45,35,1,0,NA
2006,8,CHRIS,North Atlantic,133,76,14,15,27,22,20,0,0,NA
2006,8,ERNESTO,North Atlantic,299,79,10,8,50,55,35,1,0,NA
2006,9,JOHN,Eastern Pacific,114,255,10,8,110,95,92,3,1,NA
2006,9,GORDON,North Atlantic,1875,779,28,36,75,65,55,1,0,NA
2006,9,LANE,Eastern Pacific,138,94,7,10,47,82,93,3,1,NA
2007,6,BARBARA,Eastern Pacific,311,240,4,6,35,45,37,1,0,NA
2007,6,BARRY,North Atlantic,76,147,5,13,25,35,30,0,0,NA
2007,8,DEAN,North Atlantic,162,249,17,16,122,130,144,6,1,2
2007,9,HENRIETTE,Eastern Pacific,183,305,3,6,55,60,70,2,1,NA
2007,9,FELIX,North Atlantic,114,393,16,18,90,140,140,6,1,NA
2007,9,LORENZO,North Atlantic,205,194,5,4,25,30,65,2,1,NA
2007,10,NOEL,North Atlantic,271,138,9,4,25,45,42,1,0,NA
2008,8,EDOUARD,North Atlantic,176,100,4,6,27,40,47,1,0,NA
2008,9,HANNA,North Atlantic,280,221,10,15,57,55,54,1,0,NA
2008,9,IKE,North Atlantic,640,284,14,13,102,105,108,4,1,38
2008,9,LOWELL,Eastern Pacific,425,279,5,5,40,30,30,0,0,NA
2008,9,KYLE,North Atlantic,947,526,16,21,55,70,65,2,1,NA
2008,10,NORBERT,Eastern Pacific,620,424,6,9,70,80,90,3,1,NA
2008,11,PALOMA,North Atlantic,239,288,7,6,65,100,90,3,1,NA
2009,6,NOT_NAMED,Eastern Pacific,476,287,5,9,25,30,30,0,0,NA
2009,8,BILL,North Atlantic,760,287,19,24,90,75,60,1,0,NA
2009,9,JIMENA,Eastern Pacific,423,166,9,9,135,110,75,2,1,NA
2009,10,OLAF,Eastern Pacific,618,405,11,10,40,30,25,0,0,NA
2009,10,RICK,Eastern Pacific,580,348,6,7,85,55,45,1,0,NA
2010,6,ALEX,North Atlantic,154,99,2,9,25,30,55,1,0,1.5
2010,8,NOT_NAMED,North Atlantic,253,36,10,4,30,25,25,0,0,NA
2010,9,EARL,North Atlantic,436,248,16,18,107,72,65,2,1,NA
2010,9,IGOR,North Atlantic,1096,826,12,25,72,65,75,2,1,NA
2010,10,RICHARD,North Atlantic,116,44,5,9,42,62,75,2,1,NA
2011,6,ARLENE,North Atlantic,194,190,5,5,30,45,55,1,0,NA
2011,7,DON,North Atlantic,122,470,11,12,35,45,29,0,0,NA
2011,8,EMILY,North Atlantic,246,123,14,4,42,45,27,0,0,NA
2011,9,KATIA,North Atlantic,400,1068,48,37,75,60,60,1,0,NA
2011,9,LEE,North Atlantic,206,48,3,3,37,47,35,1,0,2.8
2011,9,NATE,North Atlantic,156,187,3,4,45,55,35,1,0,NA
2011,10,JOVA,Eastern Pacific,412,252,4,4,100,100,85,3,1,NA
2011,10,NOT_NAMED,Eastern Pacific,416,257,3,5,25,27,30,0,0,NA
2011,10,RINA,North Atlantic,167,128,4,5,100,72,50,1,0,NA
2012,5,BERYL,North Atlantic,279,283,5,9,40,45,50,1,0,NA
2012,6,CARLOTTA,Eastern Pacific,512,365,8,9,32,57,82,2,1,NA
2012,6,DEBBY,North Atlantic,166,78,4,3,50,45,30,0,0,NA
2012,8,ERNESTO,North Atlantic,338,198,6,12,50,55,80,2,1,NA
2012,8,HELENE,North Atlantic,304,393,23,17,30,30,30,0,0,NA
2012,8,ISAAC,North Atlantic,422,314,15,13,45,45,55,1,0,3
2012,9,LESLIE,North Atlantic,1291,877,11,18,55,65,65,2,1,NA
2012,10,RAFAEL,North Atlantic,736,318,11,10,35,30,27,0,0,NA
2012,10,PAUL,Eastern Pacific,789,127,12,15,92,77,35,1,0,NA
2012,10,SANDY,North Atlantic,382,235,5,10,40,60,100,4,1,68.7
2013,9,INGRID,North Atlantic,189,196,8,5,60,65,55,1,0,1.5
2013,9,MANUEL,Eastern Pacific,222,189,5,5,30,45,60,1,0,4.2
2013,10,OCTAVE,Eastern Pacific,694,426,14,12,40,55,40,1,0,NA
2013,11,SONIA,Eastern Pacific,453,492,4,8,30,35,25,0,0,NA
2014,7,ARTHUR,North Atlantic,90,204,13,25,80,70,55,1,0,NA
